,App_Names,Reviews,Size,Price,Last Updated,Minimum Android Version,install,Content,som_clut,Final_clust
0,Smart Foods Organic Diet Buddy,411,30.0,0.0,79,3.0,50000,0,49,3
1,Google Fit: Health and Activity Tracking,292197,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
2,Pedometer,469421,3.3,0.0,33,4.0,10000000,0,15,1
3,"Calorie Counter - MyNetDiary, Food Diary Tracker",30925,26.0,0.0,34,5.0,1000000,0,39,1
4,Map My Hike GPS Hiking,14451,69.0,0.0,32,5.0,1000000,0,40,1
5,MyPlate Calorie Tracker,30788,21.0,0.0,34,4.0,1000000,0,4,1
6,Lose It! - Calorie Counter,75978,37.0,0.0,33,4.142857142857143,10000000,0,13,1
7,Health and Nutrition Guide,7959,3.3,0.0,41,4.0,500000,0,18,1
8,Runtastic Mountain Bike GPS Tracker,51068,38.0,0.0,40,4.0,1000000,0,19,1
9,Calorie Counter by FatSecret,262078,25.270662905500703,0.0,33,4.142857142857143,10000000,0,15,1
10,Pacifica - Stress & Anxiety,11626,36.0,0.0,33,5.0,1000000,1,62,6
11,BodBot Personal Trainer:ï¿½Workoutï¿½&ï¿½Fitnessï¿½Coach,9283,38.0,0.0,32,6.0,1000000,1,63,1
12,"AllTrails: Hiking, Running & Mountain Bike Trails",24566,33.0,0.0,33,4.0,1000000,0,6,1
13,Walk with Map My Walk,163199,69.0,0.0,32,5.0,5000000,0,40,1
14,Geocachingï¿½,71292,22.0,0.0,33,4.0,5000000,1,62,6
15,Calorie Counter - MyFitnessPal,2041505,25.270662905500703,0.0,32,4.142857142857143,50000000,0,24,1
16,Runkeeper - GPS Track Run Walk,520354,25.270662905500703,0.0,32,4.142857142857143,10000000,0,23,1
17,Sports Tracker Running Cycling,200884,25.270662905500703,0.0,32,4.142857142857143,10000000,0,22,1
18,"ViewRanger: Trail Maps for Hiking, Biking, Skiing",36494,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
19,Fitbit,441845,25.270662905500703,0.0,32,4.142857142857143,10000000,0,15,1
20,Simple Habit Meditation,25495,13.0,0.0,33,4.0,1000000,0,5,1
21,Runtastic Running App: Run & Mileage Tracker,874924,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
22,Lose Belly Fat in 30 Days - Flat Stomach,144659,10.0,0.0,33,4.0,10000000,0,22,1
23,Plant Nanny - Water Reminder,254816,42.0,0.0,69,4.0,1000000,0,50,3
24,21-Day Meditation Experience,12120,17.0,0.0,33,4.0,500000,0,5,1
25,Relax Melodies: Sleep Sounds,259651,81.0,0.0,33,5.0,10000000,0,32,1
26,"Calm - Meditate, Sleep, Relax",138681,25.270662905500703,0.0,33,4.142857142857143,10000000,0,22,1
27,Step Counter - Pedometer Free & Calorie Counter,202717,5.1,0.0,33,4.0,10000000,0,22,1
28,Daily Workouts - Exercise Fitness Routine Trainer,136264,30.0,0.0,38,4.0,10000000,0,11,1
29,Meditation Studio,1199,29.0,3.99,34,4.0,10000,0,37,4
30,Fabulous: Self Care,225138,36.0,0.0,34,4.0,5000000,0,22,1
31,Progression Workout Tracker,3249,6.3,0.0,56,4.0,100000,0,43,3
32,Lose Weight in 30 Days,328273,9.8,0.0,33,4.0,10000000,0,15,1
33,FitNotes - Gym Workout Log,18749,2.9,0.0,46,4.0,1000000,0,35,3
34,Step Counter - Calorie Counter,5480,1.9,0.0,38,4.0,1000000,0,9,1
35,Lark - 24/7 Health Coach,4082,52.0,0.0,32,4.0,100000,0,6,1
36,Stronglifts 5x5 - Weight Lifting & Gym Workout Log,75580,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
37,C25Kï¿½ - 5K Running Trainer Pro,3346,49.0,2.99,34,6.0,50000,0,46,4
38,Endomondo - Running & Walking,623104,18.0,0.0,33,4.142857142857143,10000000,0,23,1
39,"Meditation Music - Relax, Yoga",60767,28.0,0.0,38,4.0,1000000,0,11,1
40,Om Meditation All-in-One!,19310,4.2,0.0,35,4.0,1000000,0,3,1
41,Six Pack in 30 Days - Abs Workout,446873,8.6,0.0,36,4.0,10000000,1,62,6
42,White Noise Lite,59314,41.0,0.0,36,4.0,1000000,0,12,1
43,7 Minute Workout,406474,25.270662905500703,0.0,34,4.142857142857143,10000000,0,15,1
44,Workout Trainer: fitness coach,100791,25.270662905500703,0.0,34,4.142857142857143,10000000,0,22,1
45,WW (formerly Weight Watchers),373411,52.0,0.0,33,5.0,10000000,0,32,1
46,Pedometer -  Step Counter Free & Calorie Burner,114756,5.3,0.0,35,4.0,10000000,0,3,1
47,Pocket Yoga,2218,25.270662905500703,2.99,72,4.142857142857143,100000,0,58,3
48,Fitwell - 30 Day Fitness Workout Diet Step Counter,10420,25.270662905500703,0.0,32,4.142857142857143,500000,0,13,1
49,Calorie Counter - Asken Diet,624,50.0,0.0,33,4.0,100000,0,6,1
50,Fooducate Healthy Weight Loss & Calorie Counter,15291,25.270662905500703,0.0,34,4.142857142857143,1000000,0,13,1
51,Run with Map My Run,201658,71.0,0.0,32,5.0,10000000,0,32,1
52,Aaptiv: #1 Audio Fitness App,9321,25.270662905500703,0.0,32,4.142857142857143,1000000,0,13,1
53,Running for Weight Loss Walking Jogging my FITAPP,21675,25.270662905500703,0.0,33,4.142857142857143,1000000,1,62,6
54,White Sound Pro,16822,73.0,0.0,40,4.0,500000,0,19,1
55,Instant Heart Rate: HR Monitor & Pulse Checker,301071,25.270662905500703,0.0,37,4.142857142857143,10000000,0,15,1
56,Sleep Cycle: sleep analysis & smart alarm clock,79411,35.0,0.0,32,4.0,1000000,0,6,1
57,10 Best Foods for You,2494,4.4,0.0,33,4.0,500000,2,60,6
58,Self Healing,14645,9.9,0.0,53,4.0,500000,0,34,3
59,Relax Meditation: Calm your Head with White Noise,20657,84.0,2.99,34,5.0,100000,0,46,4
60,Step Counter,2216,1.9,0.0,36,4.0,500000,0,2,1
61,My Chakra Meditation,7730,45.0,0.0,44,2.0,500000,0,25,3
62,Happify,1950,36.0,0.0,33,4.0,100000,0,6,1
63,Under Armour Record,16805,93.0,0.0,34,4.0,1000000,0,7,1
64,Nike Run Club,805620,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
65,Weight Loss Tracker - RecStyle,21675,5.7,0.0,49,4.0,1000000,0,34,3
66,MealLogger-Photo Food Journal,224,25.270662905500703,0.0,33,4.142857142857143,50000,1,62,6
67,Monitor Your Weight,143388,5.2,0.0,33,4.0,5000000,0,22,1
68,Calorie Counter & Diet Tracker,33801,25.270662905500703,0.0,45,4.142857142857143,1000000,0,27,1
69,Relaxing Sounds,4748,40.0,0.0,57,4.0,100000,0,43,3
70,Water Drink Reminder,545706,25.270662905500703,0.0,33,4.142857142857143,10000000,0,23,1
71,Noom: Health & Weight,172100,57.0,0.0,33,4.0,10000000,0,16,1
72,"Strava Training: Track Running, Cycling & Swimming",405950,25.270662905500703,0.0,32,4.142857142857143,10000000,1,62,6
73,Bike Computer - GPS Cycling Tracker,19047,4.6,0.0,35,4.0,1000000,0,3,1
74,Couch to 5K by RunDouble C25K,15910,25.270662905500703,0.0,35,4.142857142857143,1000000,0,12,1
75,RockMyRun - Best Workout Music,8769,38.0,0.0,33,4.0,1000000,1,62,6
76,Charity Miles: Walking & Running Distance Tracker,6640,53.0,0.0,35,4.0,500000,0,12,1
77,Home Workout - No Equipment,682644,10.0,0.0,33,4.0,50000000,0,23,1
78,Simply Yoga - Fitness Trainer for Workouts & Poses,6978,47.0,0.0,38,4.0,1000000,0,11,1
79,Brain Waves - Binaural Beats,5479,5.5,0.0,33,4.0,1000000,0,5,1
80,Runtastic Results Strength Training & Bodyweight,44558,25.270662905500703,0.0,33,4.142857142857143,10000000,0,13,1
81,My Diet Diary Calorie Counter,18616,25.270662905500703,0.0,32,4.0,1000000,0,6,1
