App Name,Category,Rating,Reviews,Installs,Size,Price,Content Rating,Last Updated,Minimum Android Version,Latest Version of App
Smart Foods Organic Diet Buddy,HEALTH_AND_FITNESS,4.13868618,411,"50,000+",30M,0,Everyone,"May 22, 2015",3.1 and up,3.0.1
Google Fit: Health and Activity Tracking,HEALTH_AND_FITNESS,3.801178694,292197,"10,000,000+",Varies with device,0,Everyone,"March 21, 2019",Varies with device,Varies with device
Pedometer,HEALTH_AND_FITNESS,4.432419777,469421,"10,000,000+",3.3M,0,Everyone,"March 12, 2019",4.0 and up,5.27
"Calorie Counter - MyNetDiary, Food Diary Tracker",HEALTH_AND_FITNESS,4.517380714,30925,"1,000,000+",26M,0,Everyone,"February 22, 2019",5.0 and up,6.9.0
Map My Hike GPS Hiking,HEALTH_AND_FITNESS,4.400802612,14451,"1,000,000+",69M,0,Everyone,"April 1, 2019",5.0 and up,19.6.0
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.584123611,30788,"1,000,000+",21M,0,Everyone,"February 25, 2019",4.1 and up,3.5.1(0)
Lose It! - Calorie Counter,HEALTH_AND_FITNESS,4.38228178,75978,"10,000,000+",37M,0,Everyone,"March 28, 2019",Varies with device,Varies with device
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.278678417,7959,"500,000+",3.3M,0,Everyone,"July 15, 2018",4.0 and up,3.3
Runtastic Mountain Bike GPS Tracker,HEALTH_AND_FITNESS,4.456704617,51068,"1,000,000+",38M,0,Everyone,"August 1, 2018",4.4 and up,3.6.2
Calorie Counter by FatSecret,HEALTH_AND_FITNESS,4.474942684,262078,"10,000,000+",Varies with device,0,Everyone,"March 24, 2019",Varies with device,Varies with device
Pacifica - Stress & Anxiety,HEALTH_AND_FITNESS,4.438241959,11626,"1,000,000+",36M,0,Teen,"March 21, 2019",5.0 and up,7.2.0
BodBot Personal Trainer:ï¿½Workoutï¿½&ï¿½Fitnessï¿½Coach,HEALTH_AND_FITNESS,4.556178093,9283,"1,000,000+",38M,0,Teen,"April 2, 2019",6.0 and up,4.76
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.446308136,24566,"1,000,000+",33M,0,Everyone,"March 15, 2019",4.4 and up,9.1.8
Walk with Map My Walk,HEALTH_AND_FITNESS,4.50437212,163199,"5,000,000+",69M,0,Everyone,"April 2, 2019",5.0 and up,19.6.0
Geocachingï¿½,HEALTH_AND_FITNESS,4.166989326,71292,"5,000,000+",22M,0,Teen,"March 28, 2019",4.4 and up,7.8.0
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.60031271,2041505,"50,000,000+",Varies with device,0,Everyone,"April 2, 2019",Varies with device,Varies with device
Runkeeper - GPS Track Run Walk,HEALTH_AND_FITNESS,4.452250004,520354,"10,000,000+",Varies with device,0,Everyone,"April 1, 2019",Varies with device,Varies with device
Sports Tracker Running Cycling,HEALTH_AND_FITNESS,4.46833992,200884,"10,000,000+",Varies with device,0,Everyone,"April 2, 2019",Varies with device,Varies with device
"ViewRanger: Trail Maps for Hiking, Biking, Skiing",HEALTH_AND_FITNESS,4.230859756,36494,"1,000,000+",Varies with device,0,Everyone,"April 2, 2019",Varies with device,Varies with device
Fitbit,HEALTH_AND_FITNESS,3.888730288,441845,"10,000,000+",Varies with device,0,Everyone,"April 1, 2019",Varies with device,Varies with device
Simple Habit Meditation,HEALTH_AND_FITNESS,4.725279331,25495,"1,000,000+",13M,0,Everyone,"March 11, 2019",4.4 and up,1.31.7
Runtastic Running App: Run & Mileage Tracker,HEALTH_AND_FITNESS,4.524683475,874924,"10,000,000+",Varies with device,0,Everyone,"March 25, 2019",Varies with device,Varies with device
