,Unnamed: 0,App_Names,Reviews,Size,Price,Last Updated,Minimum Android Version,install,Content,som_clut,Final_clust
0,0,Smart Foods Organic Diet Buddy,411,30.0,0.0,79,3.0,50000,0,49,3
23,23,Plant Nanny - Water Reminder,254816,42.0,0.0,69,4.0,1000000,0,50,3
31,31,Progression Workout Tracker,3249,6.3,0.0,56,4.0,100000,0,43,3
33,33,FitNotes - Gym Workout Log,18749,2.9,0.0,46,4.0,1000000,0,35,3
47,47,Pocket Yoga,2218,25.270662905500703,2.99,72,4.142857142857143,100000,0,58,3
58,58,Self Healing,14645,9.9,0.0,53,4.0,500000,0,34,3
61,61,My Chakra Meditation,7730,45.0,0.0,44,2.0,500000,0,25,3
65,65,Weight Loss Tracker - RecStyle,21675,5.7,0.0,49,4.0,1000000,0,34,3
69,69,Relaxing Sounds,4748,40.0,0.0,57,4.0,100000,0,43,3
102,102,My Chakra Meditation 2,1302,31.0,0.0,44,2.0,100000,0,25,3
132,132,Rain Sounds - Sleep Ambiance,9110,8.3,0.0,67,4.0,100000,0,50,3
148,148,Human Body System,463,7.1,0.0,61,2.0,50000,0,41,3
161,161,Pachamanga,876,2.6,0.0,57,4.0,50000,0,43,3
166,166,What's Up? - Mental Health App,2978,9.8,0.0,64,2.0,100000,0,41,3
169,169,Happy Pregnancy Ticker,8376,6.9,0.0,57,2.0,1000000,0,41,3
197,197,Casual dieting-weight manager-,21247,15.0,0.0,76,4.0,1000000,0,50,3
211,211,Darker (Screen Filter),15642,25.270662905500703,0.0,46,4.142857142857143,1000000,0,35,3
223,223,Binaural Beats,254,2.3,0.0,39,2.0,10000,0,25,3
251,251,Fit! - Fitness Tracker,155,2.3,0.0,55,4.0,10000,0,43,3
252,252,??????????????????????,14888,34.0,0.0,58,4.0,500000,0,43,3
259,259,Orangetheory OTbeat,572,20.0,0.0,70,4.0,100000,0,50,3
269,269,Relax Lite: Stress Relief,3246,28.0,0.0,65,3.0,500000,0,42,3
271,271,Universal - Meditation,47,29.0,0.0,89,2.0,5000,0,49,3
292,292,ASUS ZenFit,6139,25.270662905500703,0.0,51,4.142857142857143,1000000,0,34,3
295,295,Yoga tools from Sadhguru,4545,44.0,0.0,78,3.0,100000,0,49,3
310,310,Noom Walk Pedometer,154739,12.0,0.0,66,4.0,10000000,0,50,3
311,311,Noom Monitor,7,63.0,0.0,57,4.0,1000,0,43,3
320,320,ageLOC Me,23,41.0,0.0,50,4.0,5000,0,34,3
321,321,Relaxing Spa Music,189,16.0,0.0,33,2.0,10000,0,25,3
355,355,Farmï¿½cias de Serviï¿½o .net,4709,25.270662905500703,0.0,51,4.142857142857143,500000,0,34,3
377,377,Tabela Tuss,86,3.2,0.0,62,4.0,5000,0,43,3
392,392,Sitting Still,23,38.0,1.99,67,4.0,1000,0,58,3
393,393,MDLIVE for Cigna,51,35.0,0.0,57,4.0,10000,0,43,3
394,394,Breakthrough Therapy,42,23.0,0.0,60,4.0,5000,0,43,3
395,395,Coach by Cigna,3778,34.0,0.0,55,4.0,1000000,0,43,3
397,397,Cigna Health Benefits,268,2.2,0.0,59,4.0,100000,0,43,3
403,403,BD Provider App,45,13.0,0.0,63,4.0,10000,0,50,3
410,410,St John Ambulance First Aid,3308,11.0,0.0,61,1.0,500000,0,41,3
414,414,Wave Sounds,156,20.0,0.0,42,2.0,10000,0,25,3
420,420,Zika Vï¿½rus - Minha Vida,46,2.8,0.0,69,4.0,1000,0,50,3
444,444,Movesum ï¿½ Steps by Lifesum,297,6.3,0.0,64,4.0,50000,0,50,3
467,467,Virginia Mason Medical Center,15,3.5,0.0,46,4.0,1000,0,35,3
473,473,Acupressure Point for 300+ Diseases,50,5.4,0.0,47,4.0,10000,0,35,3
477,477,Simple Meditation,1817,9.8,0.0,55,4.0,100000,0,43,3
482,482,Couch to 5k & 10k,2085,14.0,0.0,48,4.0,100000,0,35,3
489,489,Salud Responde,8223,25.270662905500703,0.0,47,4.0,1000000,0,35,3
530,530,Sleep Time : Sleep Cycle Smart Alarm Clock Tracker,31161,36.0,0.0,50,4.0,1000000,0,34,3
534,534,Cardiograph - Heart Rate Meter,200924,25.270662905500703,0.0,47,4.142857142857143,10000000,0,35,3
538,538,Nourish Perfect Portions,9,4.6,0.0,50,4.0,1000,0,34,3
542,542,Round the Bays,15,33.0,0.0,46,2.0,1000,0,25,3
566,566,Dona Sangre Andalucï¿½a,200,4.0,0.0,55,4.0,10000,0,43,3
606,606,First Aid For Cyclists,167,2.0,0.0,65,2.0,10000,0,41,3
614,614,"Omvana: Meditation, Yoga Sleep",4503,34.0,0.0,74,4.0,100000,1,59,3
618,618,Heart Rate Monitor,28667,4.6,0.0,49,3.0,1000000,0,33,3
619,619,Heart Rate Monitor,23668,2.3,0.0,55,4.0,1000000,0,43,3
629,629,????? ??????? ????? ????????,79,4.3,0.0,47,2.0,10000,0,25,3
641,641,21 Day Fixï¿½ Tracker ï¿½ Official,460,11.0,0.0,57,2.0,100000,0,41,3
681,681,Health Tips 1000,78,3.8,0.0,38,2.0,10000,0,25,3
682,682,12 Daily Workout,2,3.5,0.0,60,3.0,100,0,42,3
684,684,Select PT for Patients,1,26.0,0.0,47,4.0,100,0,35,3
685,685,NovaCare for Patients,2,26.0,0.0,47,4.0,100,0,35,3
690,690,??????? ????????,44,4.7,0.0,56,2.0,5000,0,41,3
699,699,?????? ?i?,222,27.0,0.0,77,2.0,10000,0,49,3
700,700,Dr. Greger's Daily Dozen,4668,15.0,0.0,47,4.0,100000,0,35,3
717,717,Wodify,1704,1.6,0.0,61,4.0,100000,0,43,3
719,719,Yoga Mudras for 300+ Diseases,19,6.0,0.0,47,4.0,1000,0,35,3
720,720,Yoga Poses for 300+ Diseases,134,3.6,0.0,47,4.0,100000,0,35,3
722,722,Finger Holding Therapy,5,3.1,0.0,47,4.0,1000,0,35,3
723,723,Diabetes Nature Cure,3,6.0,0.0,47,4.0,100,0,35,3
724,724,Top 5 Home Remedies for 300+ Diseases,3,7.4,0.0,47,4.0,100,0,35,3
749,749,Interval Trainer PRO,384,3.7,0.0,61,4.0,10000,0,43,3
752,752,Pedometer,542,1.7,0.0,57,2.0,50000,0,41,3
765,765,Ochre Health,7,10.0,0.0,67,4.0,500,0,50,3
766,766,Jupiter Health,10,10.0,0.0,78,4.0,1000,0,50,3
775,775,Squats,6,4.3,0.0,56,5.0,1000,0,43,3
776,776,HandCare Free Cuida tus manos,3,16.0,0.0,73,2.0,500,0,49,3
777,777,Lower Blood Pressure,4,165.0,0.0,90,2.0,1000,0,49,3
783,783,Women Workout: Home Gym & Cardio,37349,78.0,0.0,40,2.0,1000000,0,25,3
