"Category","Reviews","Installs","Size","Price","Content.Rating"
2,411,13,61,34,2
2,292197,3,194,34,2
2,469421,3,53,34,2
2,30925,1,46,34,2
2,14451,1,136,34,2
2,30788,1,39,34,2
2,75978,3,73,34,2
2,7959,16,53,34,2
2,51068,1,74,34,2
2,262078,3,194,34,2
2,11626,1,70,34,5
2,9283,1,74,34,5
2,24566,1,65,34,2
2,163199,9,136,34,2
2,71292,9,40,34,5
2,2041505,12,194,34,2
2,520354,3,194,34,2
2,200884,3,194,34,2
2,36494,1,194,34,2
2,441845,3,194,34,2
2,25495,1,18,34,2
2,874924,3,194,34,2
2,144659,3,15,34,2
2,254816,1,88,34,2
3,1187,7,194,34,2
3,12,2,7,34,2
3,34424,16,142,34,3
3,3179,16,65,34,2
3,22146,1,194,34,2
3,37,10,173,17,2
3,2,14,27,30,2
3,75,4,29,34,2
3,1704,13,88,6,4
3,395,13,23,34,2
3,1321,4,194,17,2
3,15,2,15,34,2
3,44,2,41,34,2
3,8,2,29,1,2
3,60579,1,194,34,2
3,90,10,94,9,2
3,24194,1,194,34,2
3,6,5,8,1,2
3,224,2,16,34,2
3,558,10,46,32,2
3,3288,7,89,34,2
3,94829,1,75,34,2
3,138,4,37,22,2
3,6474,16,73,34,2
3,3781,13,20,34,2
3,41,2,22,34,2
3,2494,13,47,34,2
3,26921,1,93,34,2
3,22,10,41,17,2
3,2093,13,113,34,2
3,70,4,46,32,2
3,209,4,123,6,2
3,49,10,41,17,2
3,362,7,106,34,2
3,32720,16,112,34,2
3,4134,1,18,34,2
3,1,14,62,34,2
3,2,5,156,29,2
3,115,4,124,34,2
3,22,4,140,34,2
3,809,7,20,34,2
3,6,8,41,34,2
3,1634,7,102,34,2
3,163,4,55,34,2
3,979,7,41,34,2
3,826,7,151,34,2
3,100,2,69,33,2
3,1,14,37,34,2
3,250,4,118,34,2
3,164,4,71,4,2
3,175,2,17,34,2
3,119803,1,20,34,2
3,102,10,184,34,2
3,123934,1,17,34,2
3,32,10,58,34,2
3,974,7,75,34,2
3,1689,7,53,34,2
3,1417,7,27,31,2
3,90,4,122,34,2
3,51,2,101,34,3
3,304,13,125,34,2
3,24236,1,194,34,2
3,717,13,48,34,2
3,24539,1,48,34,2
3,12,2,72,23,2
3,1,8,61,34,2
3,1,5,78,34,2
3,214,4,47,13,2
3,232,4,85,34,2
3,306,4,129,34,3
3,124,2,85,34,2
3,82863,9,17,34,2
3,817,7,89,34,2
3,3,8,92,34,2
3,118802,1,194,34,2
3,471,13,88,34,2
3,62,2,31,1,2
3,878,13,95,34,2
3,86,2,194,34,2
3,55832,9,22,34,2
3,13010,16,40,34,2
3,1430,13,68,13,2
3,823,7,69,34,2
3,159,10,194,17,2
3,1058,4,142,26,2
3,80,10,186,13,2
3,14,2,22,34,5
3,5258,16,27,34,2
3,4257,7,106,14,2
3,224,4,194,26,2
3,7,2,61,34,2
3,15,17,85,13,2
3,178,4,38,5,3
3,78,10,109,34,2
3,10635,1,89,34,2
3,17697,16,194,34,2
3,2535,4,16,34,2
3,1,8,62,34,4
2,12120,16,23,34,2
2,259651,3,168,34,2
2,138681,3,194,34,2
2,202717,3,97,34,2
2,136264,3,61,34,2
2,1199,4,49,17,2
2,225138,9,70,34,2
2,3249,7,120,34,2
2,328273,3,185,34,2
2,18749,1,37,34,2
2,5480,1,11,34,2
2,4082,7,109,34,2
2,75580,1,194,34,2
2,3346,13,95,13,2
2,623104,3,25,34,2
2,60767,1,48,34,2
2,19310,1,78,34,2
2,446873,3,163,34,5
2,59314,1,87,34,2
2,406474,3,194,34,2
2,100791,3,194,34,2
2,373411,3,109,34,2
2,114756,3,99,34,2
