,App_Names,Reviews,Size,Price,Last Updated,Minimum Android Version,install,Content
0,Smart Foods Organic Diet Buddy,411,30.0,0.0,79,3.0,50000,0
1,Google Fit: Health and Activity Tracking,292197,25.270662905500703,0.0,33,4.142857142857143,10000000,0
2,Pedometer,469421,3.3,0.0,33,4.0,10000000,0
3,"Calorie Counter - MyNetDiary, Food Diary Tracker",30925,26.0,0.0,34,5.0,1000000,0
4,Map My Hike GPS Hiking,14451,69.0,0.0,32,5.0,1000000,0
5,MyPlate Calorie Tracker,30788,21.0,0.0,34,4.0,1000000,0
6,Lose It! - Calorie Counter,75978,37.0,0.0,33,4.142857142857143,10000000,0
7,Health and Nutrition Guide,7959,3.3,0.0,41,4.0,500000,0
8,Runtastic Mountain Bike GPS Tracker,51068,38.0,0.0,40,4.0,1000000,0
9,Calorie Counter by FatSecret,262078,25.270662905500703,0.0,33,4.142857142857143,10000000,0
10,Pacifica - Stress & Anxiety,11626,36.0,0.0,33,5.0,1000000,1
11,BodBot Personal Trainer:ï¿½Workoutï¿½&ï¿½Fitnessï¿½Coach,9283,38.0,0.0,32,6.0,1000000,1
12,"AllTrails: Hiking, Running & Mountain Bike Trails",24566,33.0,0.0,33,4.0,1000000,0
13,Walk with Map My Walk,163199,69.0,0.0,32,5.0,5000000,0
14,Geocachingï¿½,71292,22.0,0.0,33,4.0,5000000,1
15,Calorie Counter - MyFitnessPal,2041505,25.270662905500703,0.0,32,4.142857142857143,50000000,0
16,Runkeeper - GPS Track Run Walk,520354,25.270662905500703,0.0,32,4.142857142857143,10000000,0
17,Sports Tracker Running Cycling,200884,25.270662905500703,0.0,32,4.142857142857143,10000000,0
18,"ViewRanger: Trail Maps for Hiking, Biking, Skiing",36494,25.270662905500703,0.0,32,4.142857142857143,1000000,0
19,Fitbit,441845,25.270662905500703,0.0,32,4.142857142857143,10000000,0
20,Simple Habit Meditation,25495,13.0,0.0,33,4.0,1000000,0
