"","x"
"1",49
"2",15
"3",15
"4",39
"5",40
"6",4
"7",13
"8",18
"9",19
"10",15
"11",62
"12",63
"13",6
"14",40
"15",62
"16",24
"17",23
"18",22
"19",13
"20",15
"21",5
"22",23
"23",22
"24",50
"25",5
"26",32
"27",22
"28",22
"29",11
"30",37
"31",22
"32",43
"33",15
"34",35
"35",9
"36",6
"37",13
"38",46
"39",23
"40",11
"41",3
"42",62
"43",12
"44",15
"45",22
"46",32
"47",3
"48",58
"49",13
"50",6
"51",13
"52",32
"53",13
"54",62
"55",19
"56",15
"57",6
"58",60
"59",34
"60",46
"61",2
"62",25
"63",6
"64",7
"65",23
"66",34
"67",62
"68",22
"69",27
"70",43
"71",23
"72",16
"73",62
"74",3
"75",12
"76",62
"77",12
"78",23
"79",11
"80",5
"81",13
"82",6
"83",22
"84",60
"85",62
"86",60
"87",6
"88",13
"89",11
"90",10
"91",62
"92",4
"93",24
"94",39
"95",5
"96",15
"97",23
"98",22
"99",62
"100",10
"101",60
"102",13
"103",25
"104",19
"105",1
"106",3
"107",18
"108",18
"109",18
"110",11
"111",18
"112",9
"113",3
"114",9
"115",45
"116",13
"117",19
"118",45
"119",18
"120",36
"121",18
"122",45
"123",11
"124",57
"125",36
"126",36
"127",36
"128",36
"129",18
"130",12
"131",5
"132",8
"133",50
"134",27
"135",5
"136",14
"137",11
"138",11
"139",27
"140",27
"141",48
"142",48
"143",48
"144",48
"145",48
"146",48
"147",48
"148",48
"149",41
"150",15
"151",40
"152",11
"153",48
"154",48
"155",9
"156",2
"157",47
"158",7
"159",47
"160",14
"161",60
"162",43
"163",62
"164",23
"165",48
"166",22
"167",41
"168",40
"169",5
"170",41
"171",5
"172",64
"173",62
"174",62
"175",39
"176",14
"177",3
"178",64
"179",6
"180",64
"181",16
"182",22
"183",5
"184",40
"185",40
"186",27
"187",7
"188",20
"189",47
"190",22
"191",13
"192",6
"193",48
"194",15
"195",39
"196",6
"197",60
"198",50
"199",62
"200",7
"201",6
"202",6
"203",19
"204",48
"205",27
"206",45
"207",5
"208",5
"209",64
"210",19
"211",9
"212",35
"213",5
"214",5
"215",13
"216",48
"217",13
"218",16
"219",18
"220",48
"221",18
"222",7
